# avg_degree,9.8
# msgs_per_node_per_step,9.8
# total_msgs_per_step,980.0
# steps_per_epoch,25.0
# total_msgs_per_epoch,24500.0
epoch,mean,median,min,max,std
1,0.15949600000000003,0.16295,0.1014,0.2096,0.031937792409620296
2,0.22261,0.23299999999999998,0.105,0.3065,0.0564637255235607
3,0.261998,0.2752,0.1753,0.3227,0.040646224867753704
4,0.2893,0.30365,0.2002,0.3519,0.043926629736413876
5,0.31007000000000007,0.3182,0.2499,0.3666,0.040119487783370315
6,0.31923,0.3224,0.2782,0.3704,0.025155554058696458
7,0.33523,0.34485,0.2248,0.3931,0.041331451704482866
8,0.3750040000000001,0.3772,0.3094,0.4288,0.03285880679513484
9,0.36654899999999996,0.3653,0.2968,0.4303,0.0424900023417274
10,0.40881799999999996,0.4085,0.3602,0.4449,0.023966582484784935
11,0.39873,0.3976,0.3349,0.4456,0.032248455776982564
12,0.414441,0.4294,0.3454,0.4554,0.03634024792155387
13,0.415381,0.4225,0.3536,0.4612,0.027056140504513944
14,0.414842,0.41395000000000004,0.3332,0.4693,0.03512750540530882
15,0.451456,0.46,0.3734,0.4825,0.027346408612466826
16,0.42121899999999995,0.42679999999999996,0.3288,0.4845,0.04264054102611739
17,0.441323,0.4543,0.3385,0.4938,0.046726274953178104
18,0.45382199999999995,0.4559,0.4157,0.4936,0.02214092852614813
19,0.473649,0.48575,0.4015,0.5125,0.03429939793932249
20,0.482846,0.4951,0.4289,0.5176,0.026257674763771447
21,0.4929279999999999,0.4937,0.4542,0.5311,0.024149136961804665
22,0.46787399999999996,0.4825,0.4094,0.5096,0.03150864522635018
23,0.514417,0.5174,0.4706,0.5321,0.013798377114718959
24,0.494178,0.50395,0.3734,0.5374,0.042044259013568064
25,0.503897,0.50605,0.4469,0.5377,0.019804925927657487
26,0.505191,0.5158,0.4396,0.5421,0.027558940817818088
27,0.5128980000000001,0.5168,0.4442,0.5458,0.025271177178754458
28,0.518255,0.5226,0.4368,0.5494,0.026189980431455078
29,0.519253,0.5255,0.4715,0.5488,0.02069066676064356
30,0.507449,0.51545,0.4382,0.5552,0.034305484969607995
31,0.526703,0.5289,0.4786,0.5593,0.017019150713240654
32,0.549683,0.5543,0.5226,0.5791,0.015581559966832588
33,0.546475,0.55,0.4973,0.5826,0.022487389243751703
34,0.5379409999999999,0.5394,0.4708,0.5782,0.02580967684803512
35,0.5490790000000001,0.5593,0.4463,0.5786,0.03200615033083485
36,0.5629909999999999,0.5648,0.5202,0.59,0.01754608272521248
37,0.56018,0.56195,0.5232,0.5847,0.014214949876802243
38,0.548875,0.55915,0.4346,0.5882,0.03963113769499937
39,0.564318,0.5674,0.5134,0.601,0.02214587266286881
40,0.5580149999999999,0.55785,0.5176,0.5976,0.022896359426773514
41,0.572018,0.5722499999999999,0.5391,0.5963,0.013996180764765786
42,0.574603,0.57915,0.5293,0.6075,0.020723056989739714
43,0.5708989999999998,0.5716,0.5223,0.6018,0.01790459435452253
44,0.565389,0.5679000000000001,0.4807,0.6063,0.030972222700348776
45,0.588011,0.58795,0.5637,0.6114,0.014706508049159735
46,0.584785,0.5879,0.5482,0.6166,0.018544090028901398
47,0.57742,0.5905,0.49,0.6135,0.03320569830616426
48,0.583739,0.59155,0.4859,0.6202,0.031028744399346875
49,0.5780219999999999,0.5770500000000001,0.5342,0.617,0.021812920849808265
50,0.594665,0.59945,0.5664,0.6191,0.014989298682726948
51,0.597994,0.6011,0.5654,0.622,0.015322668305487792
52,0.586693,0.5928,0.5436,0.6199,0.02133421315633647
53,0.5992999999999999,0.6021,0.5717,0.6286,0.016566544600489272
54,0.590863,0.60265,0.4942,0.6237,0.03319928509772462
55,0.608062,0.6115,0.5757,0.6317,0.01573190884794341
56,0.6039840000000001,0.6037,0.5669,0.6403,0.018244383902998755
57,0.5954900000000001,0.59755,0.5422,0.6336,0.02345035394189179
58,0.599627,0.6042,0.5504,0.6387,0.02380438134041715
