# avg_degree,99.0
# msgs_per_node_per_step,99.0
# total_msgs_per_step,9900.0
# steps_per_epoch,25.0
# total_msgs_per_epoch,247500.0
epoch,mean,median,min,max,std
1,0.20970000000000005,0.2097,0.2097,0.2097,5.551115123125783e-17
2,0.24769999999999992,0.2477,0.2477,0.2477,8.326672684688674e-17
3,0.28430000000000005,0.2843,0.2843,0.2843,5.551115123125783e-17
4,0.32960000000000006,0.3296,0.3296,0.3296,5.551115123125783e-17
5,0.32260000000000005,0.3226,0.3226,0.3226,5.551115123125783e-17
6,0.34510000000000013,0.3451,0.3451,0.3451,1.1102230246251565e-16
7,0.38689999999999986,0.3869,0.3869,0.3869,1.6653345369377348e-16
8,0.3740000000000001,0.374,0.374,0.374,1.1102230246251565e-16
9,0.3885,0.3885,0.3885,0.3885,0.0
10,0.4157999999999999,0.4158,0.4158,0.4158,1.1102230246251565e-16
11,0.4382999999999999,0.4383,0.4383,0.4383,1.1102230246251565e-16
12,0.45479999999999987,0.4548,0.4548,0.4548,1.1102230246251565e-16
13,0.4444999999999999,0.4445,0.4445,0.4445,1.1102230246251565e-16
14,0.4549999999999999,0.455,0.455,0.455,1.1102230246251565e-16
15,0.4377,0.4377,0.4377,0.4377,0.0
16,0.4703999999999999,0.4704,0.4704,0.4704,1.1102230246251565e-16
17,0.45990000000000003,0.4599,0.4599,0.4599,5.551115123125783e-17
18,0.4731,0.4731,0.4731,0.4731,0.0
19,0.5014,0.5014,0.5014,0.5014,0.0
20,0.49580000000000013,0.4958,0.4958,0.4958,1.1102230246251565e-16
21,0.5086000000000002,0.5086,0.5086,0.5086,1.1102230246251565e-16
22,0.5178000000000003,0.5178,0.5178,0.5178,2.220446049250313e-16
23,0.5288,0.5288,0.5288,0.5288,0.0
24,0.5142,0.5142,0.5142,0.5142,0.0
25,0.4159999999999999,0.416,0.416,0.416,5.551115123125783e-17
26,0.5006,0.5006,0.5006,0.5006,0.0
27,0.5225,0.5225,0.5225,0.5225,0.0
28,0.5480000000000002,0.548,0.548,0.548,1.1102230246251565e-16
29,0.5396,0.5396,0.5396,0.5396,0.0
30,0.5251000000000001,0.5251,0.5251,0.5251,1.1102230246251565e-16
31,0.5405999999999997,0.5406,0.5406,0.5406,2.220446049250313e-16
32,0.5636999999999999,0.5637,0.5637,0.5637,1.1102230246251565e-16
33,0.5619,0.5619,0.5619,0.5619,0.0
34,0.5609,0.5609,0.5609,0.5609,0.0
35,0.5234,0.5234,0.5234,0.5234,0.0
36,0.5703,0.5703,0.5703,0.5703,0.0
37,0.5837000000000001,0.5837,0.5837,0.5837,1.1102230246251565e-16
38,0.5730999999999999,0.5731,0.5731,0.5731,1.1102230246251565e-16
39,0.5782,0.5782,0.5782,0.5782,0.0
40,0.5804999999999999,0.5805,0.5805,0.5805,1.1102230246251565e-16
41,0.5669,0.5669,0.5669,0.5669,0.0
42,0.5849,0.5849,0.5849,0.5849,0.0
43,0.5847999999999999,0.5848,0.5848,0.5848,1.1102230246251565e-16
44,0.5751,0.5751,0.5751,0.5751,0.0
45,0.5700000000000001,0.57,0.57,0.57,1.1102230246251565e-16
46,0.5141,0.5141,0.5141,0.5141,0.0
47,0.5737,0.5737,0.5737,0.5737,0.0
48,0.6105999999999998,0.6106,0.6106,0.6106,2.220446049250313e-16
49,0.6002000000000001,0.6002,0.6002,0.6002,1.1102230246251565e-16
50,0.6142,0.6142,0.6142,0.6142,0.0
51,0.5959999999999999,0.596,0.596,0.596,1.1102230246251565e-16
52,0.5968999999999998,0.5969,0.5969,0.5969,2.220446049250313e-16
53,0.6013000000000002,0.6013,0.6013,0.6013,2.220446049250313e-16
54,0.6180000000000002,0.618,0.618,0.618,2.220446049250313e-16
55,0.6201,0.6201,0.6201,0.6201,0.0
56,0.6129999999999999,0.613,0.613,0.613,1.1102230246251565e-16
57,0.6086000000000001,0.6086,0.6086,0.6086,1.1102230246251565e-16
58,0.6272999999999999,0.6273,0.6273,0.6273,1.1102230246251565e-16
59,0.6173000000000001,0.6173,0.6173,0.6173,1.1102230246251565e-16
60,0.6281000000000001,0.6281,0.6281,0.6281,1.1102230246251565e-16
61,0.6128,0.6128,0.6128,0.6128,0.0
62,0.6238999999999999,0.6239,0.6239,0.6239,1.1102230246251565e-16
63,0.6084,0.6084,0.6084,0.6084,0.0
64,0.5944000000000002,0.5944,0.5944,0.5944,1.1102230246251565e-16
65,0.6221,0.6221,0.6221,0.6221,0.0
66,0.6281999999999999,0.6282,0.6282,0.6282,1.1102230246251565e-16
67,0.622,0.622,0.622,0.622,0.0
68,0.6466000000000001,0.6466,0.6466,0.6466,1.1102230246251565e-16
69,0.6456999999999999,0.6457,0.6457,0.6457,1.1102230246251565e-16
70,0.6420000000000001,0.642,0.642,0.642,1.1102230246251565e-16
71,0.6261000000000001,0.6261,0.6261,0.6261,1.1102230246251565e-16
72,0.5899,0.5899,0.5899,0.5899,0.0
73,0.6502,0.6502,0.6502,0.6502,0.0
74,0.6547999999999997,0.6548,0.6548,0.6548,3.3306690738754696e-16
75,0.6272999999999999,0.6273,0.6273,0.6273,1.1102230246251565e-16
76,0.6504000000000001,0.6504,0.6504,0.6504,1.1102230246251565e-16
77,0.6300999999999999,0.6301,0.6301,0.6301,1.1102230246251565e-16
78,0.6475999999999997,0.6476,0.6476,0.6476,2.220446049250313e-16
79,0.6276000000000002,0.6276,0.6276,0.6276,1.1102230246251565e-16
80,0.6506999999999998,0.6507,0.6507,0.6507,1.1102230246251565e-16
81,0.6574,0.6574,0.6574,0.6574,0.0
82,0.6378,0.6378,0.6378,0.6378,0.0
83,0.6441,0.6441,0.6441,0.6441,0.0
84,0.6388,0.6388,0.6388,0.6388,0.0
85,0.6638,0.6638,0.6638,0.6638,0.0
86,0.6591000000000001,0.6591,0.6591,0.6591,1.1102230246251565e-16
87,0.6452999999999999,0.6453,0.6453,0.6453,1.1102230246251565e-16
88,0.6706999999999997,0.6707,0.6707,0.6707,2.220446049250313e-16
89,0.6424000000000001,0.6424,0.6424,0.6424,1.1102230246251565e-16
90,0.6655999999999997,0.6656,0.6656,0.6656,2.220446049250313e-16
91,0.6538999999999998,0.6539,0.6539,0.6539,2.220446049250313e-16
92,0.6091999999999999,0.6092,0.6092,0.6092,1.1102230246251565e-16
93,0.6691000000000001,0.6691,0.6691,0.6691,1.1102230246251565e-16
94,0.6638,0.6638,0.6638,0.6638,0.0
95,0.6551999999999997,0.6552,0.6552,0.6552,3.3306690738754696e-16
96,0.6773,0.6773,0.6773,0.6773,0.0
97,0.6733,0.6733,0.6733,0.6733,0.0
98,0.6677999999999998,0.6678,0.6678,0.6678,1.1102230246251565e-16
99,0.6825000000000001,0.6825,0.6825,0.6825,1.1102230246251565e-16
100,0.6429999999999998,0.643,0.643,0.643,2.220446049250313e-16
# epochs_to_reach
# reach_40%,10
# reach_50%,19
