# avg_degree,9.8
# msgs_per_node_per_step,9.8
# total_msgs_per_step,980.0
# steps_per_epoch,25.0
# total_msgs_per_epoch,24500.0
epoch,mean,median,min,max,std
1,0.21792,0.2178,0.208,0.2296,0.007014385218962527
2,0.174,0.17375000000000002,0.1669,0.183,0.004066693988979257
3,0.31540999999999997,0.31515000000000004,0.3049,0.3269,0.006089080390338105
4,0.34005,0.34015,0.3369,0.3434,0.0024125712424714024
5,0.31749000000000005,0.31705,0.3109,0.3232,0.003835739824336368
6,0.37657,0.37695,0.3739,0.379,0.0015323511346946512
7,0.32899999999999996,0.3286,0.3232,0.3333,0.0031670175244226184
8,0.40907000000000004,0.40915,0.4017,0.4154,0.0038309398324693116
9,0.38169,0.38134999999999997,0.3774,0.3858,0.002669999999999993
10,0.41125,0.4123,0.4061,0.4146,0.0028100711734758655
11,0.4157500000000001,0.41559999999999997,0.4122,0.42,0.0021606711920141835
12,0.45476,0.45489999999999997,0.4491,0.4601,0.0029947287022366502
13,0.3815400000000001,0.38255,0.3727,0.3855,0.0039008204265256843
14,0.45286000000000004,0.45215,0.4476,0.4584,0.0035878127041416167
15,0.46424,0.4628,0.4595,0.4719,0.0044551543183149085
16,0.48279000000000005,0.48465,0.4752,0.4896,0.004522045997112365
17,0.46975,0.47,0.4663,0.4725,0.0020534117950377043
18,0.47513999999999995,0.47595,0.4698,0.4809,0.003968677361539991
19,0.4095600000000001,0.4099,0.401,0.4157,0.004081715325693351
20,0.5064,0.50755,0.4982,0.5112,0.004276447123489316
21,0.48438,0.4849,0.4774,0.4889,0.003660546407300419
22,0.49595,0.49275,0.4887,0.5085,0.007138942498717847
23,0.51935,0.51895,0.5152,0.5264,0.0033737960815674655
24,0.5106999999999999,0.5124,0.5012,0.5162,0.005176292109222584
25,0.53518,0.53545,0.5306,0.5379,0.002251577224969212
26,0.5063600000000001,0.505,0.4913,0.5185,0.00784948405947804
27,0.5270199999999999,0.52765,0.5187,0.5336,0.00440222670929155
28,0.52841,0.52905,0.5216,0.5323,0.003057270024057407
29,0.5190499999999999,0.51895,0.512,0.5276,0.004670813633618857
30,0.54521,0.5449999999999999,0.5412,0.5485,0.0021332838535928584
31,0.5311499999999999,0.53065,0.5282,0.5345,0.0017211914478058527
32,0.5720600000000001,0.5723,0.566,0.5777,0.0036857021040773374
33,0.51116,0.5112,0.5016,0.5221,0.005776365639396434
34,0.5445,0.54515,0.5394,0.5473,0.0023494680248941457
35,0.52093,0.5221,0.5045,0.5329,0.009906265693993888
36,0.56648,0.56585,0.5633,0.5701,0.0021586106642931453
37,0.53558,0.53525,0.5317,0.5406,0.0025427544120500654
38,0.56215,0.5606,0.5548,0.5706,0.0050347293869680895
39,0.5298700000000001,0.53135,0.5206,0.5354,0.004525052485883459
40,0.57041,0.5708,0.5672,0.5752,0.002600173071162762
41,0.58238,0.5821000000000001,0.5764,0.5877,0.0034028811322172354
42,0.58619,0.5862499999999999,0.5822,0.5895,0.002262056586383279
43,0.5927500000000001,0.5928,0.5865,0.5975,0.003419137318096474
44,0.5808700000000001,0.5797,0.5774,0.5876,0.003115461442547484
45,0.51285,0.51185,0.5039,0.5231,0.0053707075883909295
46,0.6097,0.61075,0.6047,0.614,0.0031745865872582456
47,0.5972900000000001,0.59745,0.5929,0.6011,0.002167233259250138
48,0.5943999999999999,0.594,0.5868,0.6007,0.0038488959455927098
49,0.60933,0.6085499999999999,0.602,0.6165,0.003918941183534156
50,0.5985100000000001,0.5988,0.5946,0.6014,0.002311471392857804
51,0.5619,0.5606,0.5542,0.5711,0.0049889878733065844
52,0.56941,0.56765,0.5606,0.5788,0.005405450952510811
53,0.5916799999999999,0.591,0.5852,0.5978,0.003921683312048536
54,0.5871799999999999,0.5869,0.5831,0.5936,0.0032396913433226948
55,0.6094,0.61005,0.605,0.6145,0.002684771871127991
56,0.59735,0.5972500000000001,0.5908,0.6041,0.004358038549622977
57,0.6255700000000001,0.6268,0.6171,0.6296,0.0037767843465043253
58,0.62518,0.62525,0.6196,0.6313,0.003533779846000573
59,0.6371,0.63685,0.6331,0.6416,0.003199374938952912
60,0.6098900000000002,0.6105,0.6055,0.6169,0.003266940464716186
61,0.6176699999999999,0.61815,0.6123,0.6214,0.0033178456865863904
62,0.63544,0.63565,0.6313,0.6403,0.003076101428756872
63,0.5879899999999999,0.5877,0.5827,0.5921,0.0027901433654921636
64,0.6280399999999999,0.6278,0.6255,0.6309,0.001374190670904164
65,0.61866,0.61745,0.6155,0.6243,0.002904548157631391
66,0.63534,0.63495,0.6313,0.6399,0.0026092910914652717
67,0.62854,0.6279,0.623,0.6345,0.003272674747053232
68,0.64742,0.6474500000000001,0.6451,0.6515,0.001959999999999993
69,0.6230600000000001,0.62365,0.6173,0.6293,0.0032711465879718686
70,0.64578,0.6447499999999999,0.6385,0.6531,0.004778660900294162
71,0.6170700000000001,0.6194,0.6066,0.623,0.005425320267044146
72,0.6416499999999999,0.6419,0.6373,0.6436,0.0016977926846349616
73,0.6290399999999999,0.62845,0.6247,0.6334,0.003199437450552822
