# avg_degree,9.8
# msgs_per_node_per_step,9.8
# total_msgs_per_step,980.0
# steps_per_epoch,5.0
# total_msgs_per_epoch,4900.0
epoch,mean,median,min,max,std
1,0.5875290000000001,0.6019,0.4718,0.7012,0.06471100879294032
2,0.674783,0.6787,0.5785,0.7617,0.044541282098745215
3,0.741617,0.7524,0.6787,0.8114,0.03675851480949685
4,0.7823369999999998,0.79435,0.717,0.8181,0.02626944481712547
5,0.805546,0.80845,0.7783,0.8276,0.012090255745847555
6,0.8145470000000001,0.8161,0.7911,0.8318,0.011217338855539669
7,0.8249720000000003,0.82555,0.8083,0.839,0.0068430122022396
8,0.8300639999999998,0.8319,0.8151,0.8407,0.007069109137649528
9,0.8371950000000001,0.8392,0.824,0.8474,0.005986607971130232
10,0.8427969999999999,0.84285,0.8334,0.8502,0.004182856798887571
11,0.84661,0.84735,0.8359,0.8556,0.004205270502595528
12,0.850103,0.8512,0.8399,0.8565,0.004509200705224819
13,0.8530079999999998,0.8538,0.8444,0.8579,0.003392040094102655
14,0.8548700000000001,0.855,0.8465,0.8609,0.0034926923712231004
15,0.857446,0.858,0.8521,0.8622,0.002281859767820982
16,0.8601620000000001,0.86075,0.8533,0.8666,0.0032857200124173764
17,0.8627739999999998,0.86225,0.8585,0.8674,0.0024091749625130936
18,0.8638119999999998,0.8636,0.8579,0.8685,0.002500491151753986
19,0.865203,0.8653,0.8617,0.8692,0.0019011288751686342
20,0.8668749999999998,0.8668,0.8627,0.8705,0.0019831477504210367
21,0.8679220000000001,0.8678,0.8638,0.8716,0.0020761300537297783
22,0.869644,0.87,0.8653,0.8735,0.0021387529076543725
23,0.8705339999999999,0.87115,0.8664,0.8745,0.0023114160162117153
24,0.8711549999999998,0.8713,0.8676,0.8748,0.002009446441187222
25,0.872481,0.87285,0.8685,0.8763,0.0019601885113427176
26,0.873269,0.8735,0.8667,0.8764,0.002217191692208857
27,0.874167,0.87465,0.8677,0.8777,0.0025654650650515573
28,0.875273,0.87525,0.8731,0.8773,0.0011759978741477304
29,0.8759009999999999,0.8762,0.8723,0.8779,0.0013149520903820136
30,0.8765999999999997,0.8769,0.8729,0.8791,0.0015008664164408475
31,0.8771549999999999,0.87795,0.8712,0.8796,0.00201113773769974
32,0.8779319999999999,0.8781,0.8744,0.8806,0.0015897094074075286
33,0.8791059999999998,0.8797,0.8747,0.8812,0.0014218874779672198
34,0.8797209999999999,0.8799,0.8762,0.8831,0.0016443415095411377
35,0.880506,0.88095,0.8767,0.8833,0.0016782621964401081
36,0.881046,0.8811,0.8769,0.8837,0.0016524176227576313
37,0.8815570000000001,0.8817,0.8794,0.8836,0.0010066036956022084
38,0.8822560000000002,0.8824,0.8793,0.8844,0.0012506254435281617
39,0.8827439999999999,0.8832,0.8795,0.8849,0.0014301272670640287
40,0.8831089999999999,0.8836,0.8795,0.8858,0.0015014056746928928
41,0.883573,0.88375,0.8798,0.886,0.0014402676834533205
42,0.883944,0.8843,0.8807,0.8861,0.0012772094581547664
43,0.8845209999999999,0.8848,0.8802,0.8863,0.0013795140448723338
44,0.8848210000000001,0.8848,0.8815,0.8865,0.0012728939468785393
45,0.885235,0.8854,0.8834,0.887,0.0010367617855611792
46,0.8859920000000001,0.88635,0.883,0.8879,0.0012589424132977661
47,0.8862420000000002,0.88665,0.8837,0.8878,0.0011252715227890557
48,0.886765,0.8868,0.8849,0.8886,0.000993617129481968
49,0.8871400000000002,0.8871,0.8854,0.8889,0.0011495216396397118
50,0.8876519999999999,0.8878,0.8858,0.8892,0.000907466803800551
51,0.887719,0.888,0.8855,0.8893,0.0010538211423197
52,0.8882410000000001,0.8883,0.8861,0.8903,0.0012832065305320136
53,0.8891820000000001,0.88955,0.8873,0.8904,0.0009054700436789773
54,0.8893269999999999,0.88955,0.887,0.891,0.0010831301860810682
55,0.8895629999999999,0.8895,0.8873,0.8918,0.001340123501771391
56,0.889826,0.89035,0.8874,0.8915,0.0012343111439179356
