# avg_degree,99.0
# msgs_per_node_per_step,99.0
# total_msgs_per_step,9900.0
# steps_per_epoch,5.0
# total_msgs_per_epoch,49500.0
epoch,mean,median,min,max,std
1,0.6527000000000001,0.6527,0.6527,0.6527,1.1102230246251565e-16
2,0.7257000000000001,0.7257,0.7257,0.7257,1.1102230246251565e-16
3,0.7804000000000001,0.7804,0.7804,0.7804,1.1102230246251565e-16
4,0.8105000000000001,0.8105,0.8105,0.8105,1.1102230246251565e-16
5,0.8217000000000003,0.8217,0.8217,0.8217,3.3306690738754696e-16
6,0.8267000000000002,0.8267,0.8267,0.8267,2.220446049250313e-16
7,0.8356999999999999,0.8357,0.8357,0.8357,1.1102230246251565e-16
8,0.8387,0.8387,0.8387,0.8387,0.0
9,0.8439,0.8439,0.8439,0.8439,0.0
10,0.8480000000000001,0.848,0.848,0.848,1.1102230246251565e-16
11,0.8516000000000002,0.8516,0.8516,0.8516,2.220446049250313e-16
12,0.8562000000000001,0.8562,0.8562,0.8562,1.1102230246251565e-16
13,0.8577999999999997,0.8578,0.8578,0.8578,3.3306690738754696e-16
14,0.8597000000000001,0.8597,0.8597,0.8597,1.1102230246251565e-16
15,0.8618000000000001,0.8618,0.8618,0.8618,1.1102230246251565e-16
16,0.8640999999999996,0.8641,0.8641,0.8641,3.3306690738754696e-16
17,0.8667999999999997,0.8668,0.8668,0.8668,3.3306690738754696e-16
18,0.8674000000000001,0.8674,0.8674,0.8674,1.1102230246251565e-16
19,0.8679000000000002,0.8679,0.8679,0.8679,2.220446049250313e-16
20,0.8696000000000003,0.8696,0.8696,0.8696,2.220446049250313e-16
21,0.8710000000000001,0.871,0.871,0.871,1.1102230246251565e-16
22,0.8718999999999998,0.8719,0.8719,0.8719,2.220446049250313e-16
23,0.8727999999999999,0.8728,0.8728,0.8728,1.1102230246251565e-16
24,0.8733000000000003,0.8733,0.8733,0.8733,3.3306690738754696e-16
25,0.8744999999999998,0.8745,0.8745,0.8745,2.220446049250313e-16
26,0.8756000000000005,0.8756,0.8756,0.8756,4.440892098500626e-16
27,0.8764999999999996,0.8765,0.8765,0.8765,3.3306690738754696e-16
28,0.8774999999999996,0.8775,0.8775,0.8775,3.3306690738754696e-16
29,0.8777000000000004,0.8777,0.8777,0.8777,3.3306690738754696e-16
30,0.8785000000000003,0.8785,0.8785,0.8785,3.3306690738754696e-16
31,0.8794999999999997,0.8795,0.8795,0.8795,2.220446049250313e-16
32,0.8803000000000002,0.8803,0.8803,0.8803,2.220446049250313e-16
33,0.8807000000000003,0.8807,0.8807,0.8807,2.220446049250313e-16
34,0.8821999999999997,0.8822,0.8822,0.8822,3.3306690738754696e-16
35,0.8817,0.8817,0.8817,0.8817,0.0
36,0.8823000000000002,0.8823,0.8823,0.8823,2.220446049250313e-16
37,0.8826999999999999,0.8827,0.8827,0.8827,1.1102230246251565e-16
38,0.8834999999999998,0.8835,0.8835,0.8835,1.1102230246251565e-16
39,0.8840000000000002,0.884,0.884,0.884,2.220446049250313e-16
40,0.8844999999999998,0.8845,0.8845,0.8845,1.1102230246251565e-16
41,0.8847000000000002,0.8847,0.8847,0.8847,1.1102230246251565e-16
42,0.8855999999999998,0.8856,0.8856,0.8856,2.220446049250313e-16
43,0.8862000000000001,0.8862,0.8862,0.8862,1.1102230246251565e-16
44,0.8859999999999997,0.886,0.886,0.886,3.3306690738754696e-16
45,0.8867999999999998,0.8868,0.8868,0.8868,2.220446049250313e-16
46,0.8876999999999998,0.8877,0.8877,0.8877,2.220446049250313e-16
47,0.8876999999999998,0.8877,0.8877,0.8877,2.220446049250313e-16
48,0.8887,0.8887,0.8887,0.8887,0.0
49,0.8890999999999997,0.8891,0.8891,0.8891,3.3306690738754696e-16
50,0.8888000000000001,0.8888,0.8888,0.8888,1.1102230246251565e-16
51,0.8893999999999999,0.8894,0.8894,0.8894,1.1102230246251565e-16
52,0.8896,0.8896,0.8896,0.8896,0.0
53,0.8901999999999997,0.8902,0.8902,0.8902,3.3306690738754696e-16
54,0.8910999999999997,0.8911,0.8911,0.8911,3.3306690738754696e-16
55,0.8909000000000001,0.8909,0.8909,0.8909,1.1102230246251565e-16
56,0.8916000000000001,0.8916,0.8916,0.8916,1.1102230246251565e-16
57,0.8914000000000004,0.8914,0.8914,0.8914,4.440892098500626e-16
58,0.8920999999999998,0.8921,0.8921,0.8921,2.220446049250313e-16
59,0.8924,0.8924,0.8924,0.8924,0.0
60,0.8924999999999998,0.8925,0.8925,0.8925,1.1102230246251565e-16
61,0.8926000000000001,0.8926,0.8926,0.8926,1.1102230246251565e-16
62,0.8926999999999999,0.8927,0.8927,0.8927,1.1102230246251565e-16
63,0.8930000000000001,0.893,0.893,0.893,1.1102230246251565e-16
64,0.8934999999999998,0.8935,0.8935,0.8935,1.1102230246251565e-16
65,0.8932999999999999,0.8933,0.8933,0.8933,1.1102230246251565e-16
66,0.8937,0.8937,0.8937,0.8937,0.0
67,0.8940000000000002,0.894,0.894,0.894,2.220446049250313e-16
