# avg_degree,9.8
# msgs_per_node_per_step,9.8
# total_msgs_per_step,980.0
# steps_per_epoch,5.0
# total_msgs_per_epoch,4900.0
epoch,mean,median,min,max,std
1,0.6498999999999999,0.649,0.635,0.6688,0.009906159699903891
2,0.7255699999999998,0.7258,0.7224,0.7282,0.0018204669730593702
3,0.7798599999999999,0.78025,0.7759,0.7845,0.002334180798481557
4,0.8096300000000001,0.80945,0.8089,0.8106,0.0005177837386399865
5,0.8211900000000001,0.82125,0.8203,0.8219,0.0004846648326420992
6,0.82718,0.8271,0.8263,0.8278,0.0005211525688318043
7,0.8353200000000001,0.8352999999999999,0.8343,0.8363,0.0006477653896280778
8,0.8388599999999999,0.83885,0.8381,0.8399,0.0005314132102234473
9,0.8441100000000001,0.8442000000000001,0.8431,0.845,0.000504876222454583
10,0.8482399999999999,0.84825,0.8474,0.8493,0.00045869379764720245
11,0.85126,0.8512,0.8509,0.852,0.00035270384177097384
12,0.8560899999999999,0.856,0.8557,0.8569,0.00034770677301427166
13,0.85783,0.8579,0.857,0.8586,0.0004148493702538279
14,0.8597,0.85965,0.859,0.8605,0.00042190046219458323
15,0.8615800000000001,0.86175,0.8606,0.8624,0.0005793099343184062
16,0.8638800000000001,0.86385,0.8631,0.8646,0.0004377213725647756
17,0.8667200000000002,0.8667,0.8662,0.8672,0.00030265491900843225
18,0.8672600000000003,0.86735,0.8666,0.8678,0.0003527038417709719
19,0.8683100000000001,0.86835,0.8678,0.8687,0.00025475478405714977
20,0.8693000000000002,0.86925,0.869,0.8696,0.00020000000000002795
21,0.8708000000000001,0.8708,0.8705,0.8711,0.00017320508075686865
22,0.8720199999999998,0.872,0.8716,0.8724,0.00024819347291978977
23,0.87259,0.87255,0.8722,0.8732,0.00032388269481404045
24,0.8732100000000002,0.8732,0.8729,0.8736,0.00019209372712298683
25,0.8743500000000001,0.8744000000000001,0.8737,0.875,0.0003528455752875538
26,0.8752899999999998,0.8753,0.875,0.8757,0.00021189620100416906
27,0.8763000000000001,0.8762,0.8759,0.8769,0.00030000000000000767
28,0.8774500000000001,0.8774500000000001,0.8768,0.8781,0.00036674241641785146
29,0.87773,0.87785,0.8773,0.8781,0.00025709920264366763
30,0.87847,0.8784,0.878,0.879,0.00032572994949805914
31,0.87938,0.87945,0.8788,0.8799,0.0003815756805667822
32,0.88015,0.88015,0.8798,0.8804,0.00017464249196571057
33,0.8809999999999999,0.881,0.8805,0.8814,0.00023664319132398202
34,0.88228,0.8823,0.8819,0.8825,0.00016613247725834318
35,0.8817599999999999,0.8817,0.8813,0.8822,0.0003292415526630955
36,0.8823099999999999,0.8823,0.8818,0.8829,0.00028442925306654954
37,0.8828900000000002,0.8829,0.8826,0.8833,0.00020223748416154454
38,0.8839300000000001,0.88395,0.8837,0.8841,0.0001486606874731687
39,0.8841500000000001,0.88405,0.8835,0.8849,0.00040311288741493956
40,0.88449,0.8844,0.8842,0.8851,0.00023853720883754316
41,0.8848100000000001,0.8848,0.8845,0.8851,0.00019209372712300016
42,0.8855299999999999,0.8855,0.8853,0.8858,0.00014177446878760807
43,0.88585,0.88585,0.8854,0.8862,0.00024186773244895052
44,0.8860900000000003,0.88615,0.8858,0.8864,0.0001757839583124501
45,0.8870499999999999,0.887,0.8867,0.8874,0.00024596747752494974
46,0.88783,0.8879,0.8875,0.8881,0.00017349351572899145
47,0.8878699999999998,0.8878,0.8877,0.8881,0.00013453624047072226
48,0.88874,0.8888,0.8886,0.8889,0.0001200000000000386
49,0.8890399999999999,0.8891,0.8884,0.8895,0.0003352610922847885
50,0.88875,0.8888,0.8884,0.889,0.00020615528128090877
51,0.88934,0.8893,0.889,0.8896,0.00019078784028336813
52,0.8896299999999998,0.8896,0.8894,0.8899,0.00016155494421406406
53,0.8903699999999999,0.8904,0.8901,0.8906,0.0001345362404707223
54,0.8911199999999999,0.8912,0.8906,0.8915,0.0002561249694973083
55,0.8910399999999998,0.891,0.8908,0.8914,0.00018547236990989365
56,0.8913999999999999,0.8914,0.8911,0.8917,0.00021447610589527964
57,0.8915500000000001,0.89155,0.8912,0.8919,0.00022472205054246201
58,0.8923200000000001,0.8923,0.8922,0.8926,0.00011661903789689317
59,0.8922399999999999,0.8922,0.892,0.8925,0.0001685229954635086
60,0.89251,0.89255,0.8922,0.8928,0.00021656407827709277
61,0.8928000000000001,0.8928,0.8923,0.8931,0.0002366431913240008
62,0.8927200000000001,0.89275,0.8923,0.8931,0.00022715633383202797
63,0.8930899999999999,0.8931,0.8927,0.8934,0.00021189620100414754
64,0.89342,0.89345,0.893,0.8937,0.00021354156504063178
65,0.8932899999999999,0.89335,0.8928,0.8938,0.00028089143810375197
66,0.8937500000000002,0.89375,0.8935,0.8941,0.00019104973174545345
67,0.8938100000000001,0.89385,0.8932,0.8941,0.0002300000000000041
68,0.89432,0.8942,0.894,0.8949,0.00025219040425836757
69,0.8944799999999999,0.89435,0.894,0.8951,0.0004214261501141095
70,0.8945299999999999,0.8945,0.8941,0.895,0.0002325940669922732
71,0.89494,0.89495,0.8946,0.8953,0.00021540659228537392
72,0.8948299999999999,0.8948,0.8946,0.8952,0.00022383029285601486
73,0.8949400000000002,0.8949,0.8946,0.8953,0.00021999999999999293
74,0.8957999999999998,0.8958,0.8953,0.8963,0.00037682887362834106
75,0.8961999999999999,0.89615,0.8957,0.8967,0.0003255764119219753
76,0.8962100000000003,0.8961,0.896,0.8967,0.00021656407827707843
77,0.8961399999999999,0.8962,0.8956,0.8965,0.0002905167809266676
78,0.8965400000000001,0.8966,0.8961,0.8969,0.0002497999199359502
79,0.89606,0.8961,0.8958,0.8963,0.00014966629547094116
80,0.8961799999999998,0.8962,0.896,0.8963,0.00011661903789689319
81,0.8965499999999998,0.89665,0.8963,0.8968,0.00019104973174545638
82,0.8970400000000001,0.89705,0.8969,0.8973,0.0001356465996624904
83,0.8971899999999999,0.8972,0.8969,0.8974,0.0001445683229479937
84,0.89756,0.89755,0.8972,0.898,0.00023323807579383202
85,0.8975900000000001,0.8976,0.8971,0.8979,0.00023430749027721835
86,0.8978899999999997,0.89795,0.8975,0.8982,0.00019723082923317681
87,0.89811,0.8982,0.8976,0.8985,0.0003080584360149717
88,0.89794,0.8979,0.8978,0.8981,7.99999999999912e-05
89,0.8979100000000001,0.89785,0.8977,0.8983,0.00018138357147215057
90,0.8978099999999999,0.89785,0.8973,0.8981,0.0002662705391139006
91,0.89822,0.8983,0.8978,0.8985,0.00022715633383198596
92,0.89845,0.8985,0.8982,0.8986,0.0001204159457879097
93,0.8987599999999999,0.8988,0.8983,0.8993,0.0003200000000000113
94,0.8985500000000001,0.8987,0.898,0.8988,0.0002376972864801148
95,0.8989899999999998,0.899,0.8988,0.8992,0.00013747727084866007
96,0.89928,0.8993,0.8989,0.8996,0.00017776388834629222
97,0.8989000000000001,0.89895,0.8985,0.8992,0.0002366431913240055
98,0.89925,0.89915,0.8989,0.8997,0.0002617250465660383
99,0.8994500000000001,0.89945,0.8991,0.8998,0.00021563858652848543
100,0.8995000000000001,0.89945,0.8993,0.8998,0.00018439088914587356
# epochs_to_reach
# reach_70%,2
# reach_75%,3
