# avg_degree,9.8
# msgs_per_node_per_step,9.8
# total_msgs_per_step,980
# steps_per_epoch,5.0
# total_msgs_per_epoch,4900.0
epoch,mean,median,min,max,std
1,0.540256,0.55235,0.2915,0.7,0.08086417911535368
2,0.6807690000000001,0.6852,0.5824,0.777,0.03717674728913222
3,0.751301,0.75305,0.672,0.8073,0.023173573289417413
4,0.7902410000000001,0.7921499999999999,0.7383,0.8225,0.01474866838056914
5,0.8093970000000001,0.8114,0.7762,0.8268,0.010517104687127531
6,0.8185969999999999,0.8193,0.7898,0.8321,0.008272332863225464
7,0.8286640000000002,0.82925,0.8109,0.8385,0.006645683110109904
8,0.833669,0.83485,0.8162,0.8419,0.00536793619559696
9,0.840316,0.841,0.8264,0.8496,0.00458577627016408
10,0.844739,0.8452999999999999,0.8326,0.8509,0.003992189749999367
11,0.8485290000000002,0.8489,0.836,0.8536,0.0035364755053584065
12,0.8519589999999999,0.8524,0.8407,0.857,0.003386534954787854
13,0.854308,0.855,0.8447,0.8591,0.002965962912782288
14,0.8567289999999999,0.8573,0.8483,0.8613,0.002830452084031808
15,0.859323,0.85995,0.8509,0.864,0.002818753447891465
16,0.8614760000000001,0.8617,0.8553,0.8649,0.0020545130809999737
17,0.864134,0.8644,0.8592,0.8671,0.0019359349162613908
18,0.8653190000000002,0.8657,0.8596,0.8694,0.0019453891641519907
19,0.8668330000000001,0.8673,0.8611,0.87,0.0017953303317217186
20,0.867752,0.8681,0.8628,0.8709,0.0016897621134349058
21,0.869245,0.8696,0.8643,0.872,0.0015055480729621378
22,0.8707670000000001,0.87085,0.8664,0.8735,0.00132544747161101
23,0.871618,0.8717,0.8676,0.8748,0.0013835736337470448
24,0.872402,0.87245,0.8677,0.8751,0.0013173442981999827
25,0.8736019999999999,0.87385,0.8704,0.8763,0.0012860777581468327
26,0.8745599999999998,0.8747,0.871,0.8774,0.0012622202660391723
27,0.875536,0.8758,0.8722,0.8784,0.0012534368751556649
28,0.8766649999999998,0.8769,0.8728,0.879,0.0012569307856839216
29,0.877207,0.8773,0.8736,0.8792,0.0011650111587448403
30,0.8780129999999997,0.8781,0.8743,0.8804,0.0012325303241705668
31,0.8790330000000002,0.8791,0.8753,0.8813,0.001126415109983878
32,0.87948,0.87955,0.8765,0.8815,0.0011433284742365147
33,0.8804479999999999,0.8805,0.8763,0.8827,0.0010424471209610603
34,0.8809420000000001,0.8811,0.8776,0.883,0.0011170657993153305
35,0.881532,0.88165,0.8773,0.8835,0.001073021900988048
36,0.8822620000000001,0.8824,0.8786,0.8848,0.0010573343841945185
37,0.882685,0.8828,0.88,0.8846,0.0009320273601134247
38,0.8834350000000002,0.8834,0.8803,0.8853,0.0008959213135091743
39,0.8838749999999999,0.8839,0.8811,0.8862,0.001061072570562445
40,0.884335,0.8843,0.8814,0.8864,0.0009654403140536433
41,0.884733,0.8848,0.8819,0.8877,0.0010190245335613885
42,0.8851379999999999,0.8852,0.8822,0.8874,0.0009509763403996967
43,0.8857250000000001,0.88585,0.883,0.8877,0.0008889741278574959
44,0.8860549999999999,0.88615,0.8833,0.8882,0.0009461897272746119
45,0.886601,0.8867,0.8841,0.8886,0.0009381359176579886
46,0.8872110000000001,0.88725,0.8845,0.8894,0.0009161762930790055
47,0.8874850000000001,0.8876,0.8851,0.8894,0.0008362266439189764
48,0.888024,0.8882,0.8853,0.8897,0.0009005687092054658
49,0.8883049999999997,0.8883,0.8858,0.8901,0.000866991926144644
50,0.8885940000000001,0.8886,0.8868,0.89,0.0007188629911186134
51,0.8888590000000001,0.88895,0.8863,0.891,0.000817201933428943
52,0.889282,0.8894,0.8866,0.8908,0.0008198024152196712
53,0.889867,0.89,0.888,0.8911,0.0006714246048515059
54,0.8902499999999999,0.8904,0.888,0.8915,0.0006940461079784272
55,0.8904159999999999,0.8905,0.8883,0.8919,0.0006993883041630002
56,0.8907530000000001,0.8908,0.8885,0.8919,0.0006272886098121006
57,0.8912840000000002,0.8913,0.8895,0.8924,0.0005525794060585335
58,0.89165,0.8917,0.8898,0.8929,0.0006062177826491064
59,0.891965,0.8921,0.89,0.8935,0.0006344091739563622
60,0.8921640000000001,0.8923,0.8901,0.8934,0.0006139250768619875
61,0.8922540000000001,0.8923,0.89,0.8936,0.0005848794747638211
62,0.8927679999999999,0.8928,0.8911,0.8938,0.0005718181529122718
63,0.892885,0.8929,0.8909,0.894,0.0005105634142787689
64,0.8930889999999999,0.8931,0.8912,0.8942,0.0005500718134934727
65,0.8930560000000001,0.89305,0.8917,0.8941,0.0005894607705352392
66,0.8932389999999999,0.89335,0.8914,0.8944,0.0006046312926073216
67,0.8935860000000002,0.8937,0.8921,0.8946,0.00048683056600834094
68,0.893749,0.89375,0.892,0.8949,0.0005378652247543085
69,0.8940859999999999,0.8941,0.8927,0.8954,0.0005291540418441459
70,0.8943000000000001,0.8943,0.8928,0.8953,0.0005312249994117397
71,0.8943919999999999,0.8944,0.8927,0.8955,0.0005643899361257233
72,0.894636,0.8946,0.8931,0.8959,0.000537497906972666
73,0.8947890000000001,0.8948,0.8933,0.8961,0.0005714709091458668
74,0.8950520000000001,0.895,0.8936,0.8963,0.0005701719039026756
75,0.8953260000000002,0.8954,0.8941,0.8964,0.000550566980484666
76,0.895511,0.8955,0.8942,0.8967,0.0004929290009727646
77,0.8956909999999999,0.89575,0.8939,0.8969,0.0005991819423180243
78,0.8958860000000002,0.8959,0.8943,0.8972,0.0005711427142142345
79,0.896007,0.89595,0.8943,0.8974,0.0006361218436746231
80,0.8959910000000001,0.8961,0.8944,0.8974,0.0006540787414371457
81,0.8961820000000001,0.8962,0.8944,0.8978,0.0006605119226781639
82,0.896434,0.89645,0.895,0.8978,0.0006447045835109306
83,0.8967399999999998,0.8968,0.8949,0.8982,0.0007096477999684093
84,0.8969320000000001,0.897,0.8953,0.8981,0.0005873465757114766
85,0.897081,0.89715,0.8956,0.8983,0.0005857806756799034
86,0.897274,0.8974,0.8951,0.8982,0.0006308121748983662
87,0.897616,0.8977,0.8953,0.8989,0.0006077367851298785
88,0.8975399999999998,0.8975,0.8959,0.8988,0.0006054750201288251
89,0.8977320000000002,0.8978,0.8962,0.8988,0.0005957986236976414
90,0.8976630000000001,0.8977,0.896,0.8988,0.0005712538840130546
91,0.8980180000000001,0.898,0.8962,0.8992,0.0006275954110730935
92,0.8984250000000001,0.8985,0.8968,0.8996,0.0005477910185463051
93,0.8984169999999999,0.8985,0.8968,0.8996,0.0005163438776629384
94,0.89848,0.8985,0.897,0.8995,0.0005497272050753886
95,0.8988489999999998,0.8989,0.8972,0.9002,0.0005038839152026982
96,0.8989090000000001,0.8989,0.8975,0.9001,0.0005607307731879881
97,0.8990210000000002,0.89895,0.8974,0.9002,0.0004968490716505315
98,0.8991799999999999,0.89915,0.8977,0.9003,0.0005529918625079419
99,0.899389,0.8994,0.898,0.9009,0.0005527920042837092
100,0.8995019999999999,0.8995,0.8979,0.901,0.0006211247861742425
# epochs_to_reach
# reach_70%,3
# reach_75%,3
